request_id,req_type,prefill_tokens,decode_tokens,target_arrival,actual_send_offset,send_delay,send_time_epoch,recv_time_epoch,client_latency,server_prompt_tokens,server_completion_tokens,server_e2e_latency
1887,long,5000,1000,0.1902620870417516,0.41517090797424316,0.22490882093249157,1771519809.818762,1771519954.4658434,144.64708137512207,5000,1000,136.02366018295288
1888,short,5000,1211,0.1903648933505165,0.41531968116760254,0.22495478781708603,1771519809.8189108,1771519972.4716196,162.6527087688446,5000,1211,153.89551067352295
1889,short,5000,1211,0.19037545240613646,0.41547203063964844,0.22509657823351198,1771519809.8190632,1771519973.3691967,163.55013346672058,5000,1211,154.64162921905518
1890,short,5000,1211,0.1905126335973417,0.4156184196472168,0.2251057860498751,1771519809.8192096,1771519974.2974539,164.47824430465698,5000,1211,155.3987603187561
1891,short,5000,1211,0.1906943193653392,0.41576123237609863,0.22506691301075943,1771519809.8193524,1771519975.3286233,165.50927090644836,5000,1211,156.28177881240845
1892,short,5000,1211,0.19077568574092682,0.4159128665924072,0.2251371808514804,1771519809.819504,1771519976.6594508,166.83994674682617,5000,1211,157.46299648284912
1893,short,5000,1211,0.19107041573275615,0.4160645008087158,0.22499408507595967,1771519809.8196557,1771519977.245707,167.42605137825012,5000,1211,157.88570761680603
1894,short,5000,1211,0.1910929595157091,0.4162123203277588,0.2251193608120497,1771519809.8198035,1771519977.5280266,167.70822310447693,5000,1211,158.0119767189026
1895,short,5000,1211,0.19110858161686753,0.4164004325866699,0.2252918509698024,1771519809.8199916,1771519978.0322301,168.21223855018616,5000,1211,158.36748361587524
1896,short,5000,1211,0.1913691110989108,0.4165530204772949,0.22518390937838412,1771519809.8201442,1771519978.308825,168.48868083953857,5000,1211,158.48966431617737
1897,long,5000,1000,0.1913838362878934,0.4166989326477051,0.22531509635981167,1771519809.82029,1771519961.2874782,151.4671881198883,5000,1000,141.3143310546875
1898,long,5000,1000,0.19147570744154715,0.4168517589569092,0.22537605151536202,1771519809.820443,1771519961.6000288,151.77958583831787,5000,1000,141.4825735092163
1899,short,5000,1211,0.1915059451442434,0.4169952869415283,0.22548934179728491,1771519809.8205864,1771519979.315336,169.49474954605103,5000,1211,159.0409641265869
1900,long,5000,1000,0.19159477025364924,0.4171426296234131,0.22554785936976385,1771519809.8207338,1771519962.1818128,152.36107897758484,5000,1000,141.77191281318665
1901,short,5000,1211,0.19173915367539004,0.4172849655151367,0.22554581183974667,1771519809.8208761,1771520036.6155853,226.79470920562744,5000,1211,216.0424520969391
1902,long,5000,1000,0.1918508481278982,0.4174330234527588,0.22558217532486058,1771519809.8210242,1771520022.7828588,212.96183466911316,5000,1000,202.07230973243713
1903,short,5000,1211,0.19185327847521583,0.4175903797149658,0.22573710123975,1771519809.8211815,1771520040.6715782,230.8503966331482,5000,1211,219.79583024978638
