,Time (sec),throughput
534,9.760813201133141,12886
535,9.790677716984224,12936
536,9.812313956349303,12986
537,9.833950195714383,13036
538,9.856242051079462,13086
539,9.878533906444542,13136
540,9.900825761809621,13186
541,9.9231176171747,13236
542,9.94540947253978,13286
543,9.967701327904859,13336
544,9.989993183269938,13386
545,10.019253723197211,13437
546,10.048641309524484,13488
547,10.07851586118509,13539
548,10.108691033036173,13590
549,10.131115624401252,13641
550,10.15354021576633,13692
551,10.17596480713141,13743
552,10.205358083058682,13795
553,10.234878405385954,13847
554,10.26488569304656,13899
555,10.295193600897642,13951
556,10.317774480262722,14003
557,10.340355359627802,14055
558,10.362936238992882,14107
559,10.385517118357962,14159
560,10.408097997723042,14211
561,10.430678877088122,14263
562,10.460228441015394,14316
563,10.489905051342667,14369
564,10.520068627003273,14422
565,10.550532822854356,14475
566,10.573352422219434,14528
567,10.603140706146707,14582
568,10.63305603647398,14636
569,10.663458332134585,14690
570,10.694161247985667,14744
571,10.717205615350746,14798
572,10.740249982715826,14852
573,10.763294350080905,14906
574,10.786338717445984,14960
575,10.809383084811063,15014
576,10.832427452176143,15068
577,10.855471819541222,15122
578,10.878516186906301,15176
579,10.90156055427138,15230
580,10.92460492163646,15284
581,10.94764928900154,15338
582,10.970693656366619,15392
583,10.993738023731698,15446
584,11.016782391096777,15500
585,11.039826758461857,15554
586,11.062871125826936,15608
587,11.085915493192015,15662
588,11.108959860557095,15716
589,11.132004227922174,15770
590,11.155048595287253,15824
591,11.178092962652332,15878
592,11.201137330017412,15932
593,11.224181697382491,15986
594,11.24722606474757,16040
595,11.27027043211265,16094
596,11.293314799477729,16148
597,11.316359166842808,16202
598,11.339403534207888,16256
599,11.369416586135161,16311
600,11.399556684462434,16366
601,11.43018374812304,16421
602,11.467625093449865,16477
603,11.505013201443354,16534
604,11.542786194770178,16591
605,11.580923102763668,16648
606,11.61238224261475,16705
607,11.636241770637838,16762
608,11.660101298660926,16819
609,11.683960826684014,16876
610,11.707820354707103,16933
611,11.731679882730191,16990
612,11.75553941075328,17047
613,11.779398938776367,17104
614,11.803258466799456,17161
615,11.827117994822544,17218
616,11.850977522845632,17275
617,11.87483705086872,17332
618,11.898696578891808,17389
619,11.922556106914897,17446
620,11.946415634937985,17503
621,11.970275162961073,17560
622,11.994134690984161,17617
623,12.02480568142572,17675
624,12.055603718267278,17733
625,12.08688872044217,17791
626,12.118474342807538,17849
627,12.142448430830626,17907
628,12.166422518853715,17965
629,12.190396606876803,18023
630,12.214370694899891,18081
631,12.23834478292298,18139
632,12.269130333364538,18198
633,12.300042930206097,18257
634,12.338079051596413,18317
635,12.376518682320063,18377
636,12.408139428494954,18437
637,12.44006079486032,18497
638,12.464497474883409,18557
639,12.488934154906497,18617
640,12.520182297348056,18678
641,12.551557486189614,18739
642,12.583419640364506,18800
643,12.615582414729873,18861
644,12.640212758752961,18922
645,12.664843102776048,18983
646,12.696284909217606,19045
647,12.727853762059166,19107
