,Request Id,prefill_e2e_time,cdf
327,327,39.451371862787994,0.178
316,316,39.47437115529024,0.1785
317,317,39.47711968162062,0.179
324,324,39.48554519709849,0.1795
326,326,39.51241981613106,0.18
325,325,39.54076948738749,0.1805
314,314,39.55092288622524,0.181
323,323,39.56236671346042,0.1815
319,319,39.63335331671301,0.182
322,322,39.638559893755044,0.1825
318,318,39.65554368626033,0.183
320,320,39.70406559625225,0.1835
312,312,39.73076488909882,0.184
313,313,39.73709097143703,0.1845
321,321,39.73866493351926,0.185
309,309,39.87860977178693,0.1855
308,308,39.88943536989791,0.186
310,310,39.915304118657005,0.1865
307,307,39.921638946073415,0.187
306,306,39.92290690307753,0.1875
305,305,40.01562788963942,0.188
311,311,40.020946257982544,0.1885
303,303,40.0351702300225,0.189
304,304,40.03997737317438,0.1895
302,302,40.29274500856228,0.19
301,301,40.48552733768204,0.1905
300,300,40.7737506729038,0.191
299,299,41.02504687500961,0.1915
298,298,41.625599146080816,0.192
297,297,41.637999929066964,0.1925
296,296,42.100368072523494,0.193
293,293,42.280353013372334,0.1935
294,294,42.341380161418826,0.194
290,290,42.343453737831936,0.1945
291,291,42.38055578682882,0.195
295,295,42.43130663667718,0.1955
292,292,42.44797983027972,0.196
289,289,42.75070163695308,0.1965
288,288,42.938462726157056,0.197
287,287,43.03385956146137,0.1975
286,286,43.37756434224126,0.198
531,531,43.73885812922046,0.1985
529,529,43.83135503120775,0.199
526,526,43.84455939536514,0.1995
530,530,43.87177256618688,0.2
528,528,43.879869359288904,0.2005
525,525,43.93827535891785,0.201
527,527,43.948824560960446,0.2015
285,285,44.149860327946215,0.202
284,284,44.154037282539264,0.2025
523,523,44.2744796509314,0.203
524,524,44.32282303928204,0.2035
522,522,44.33007248843049,0.204
521,521,44.45053288397287,0.2045
520,520,44.49300095587242,0.205
518,518,44.514432046443716,0.2055
283,283,44.52662855694496,0.206
517,517,44.552358490840874,0.2065
519,519,44.62005548811342,0.207
513,513,44.67358526523586,0.2075
514,514,44.75816756570376,0.208
515,515,44.769653671838455,0.2085
516,516,44.88300183359425,0.209
512,512,45.102748778133645,0.2095
282,282,45.26800564572339,0.21
280,280,45.31459795171257,0.2105
279,279,45.36973597073238,0.211
278,278,45.40636641743751,0.2115
511,511,45.56064729374424,0.212
510,510,45.60035018015776,0.2125
509,509,45.601744494399895,0.213
281,281,45.63185875160829,0.2135
277,277,45.74098810540315,0.214
508,508,45.844230152620156,0.2145
505,505,45.888780137353564,0.215
276,276,45.90025457663377,0.2155
506,506,45.94326253311212,0.216
507,507,45.992555461473614,0.2165
504,504,46.08595267988906,0.217
502,502,46.090875092355134,0.2175
503,503,46.11793000889736,0.218
501,501,46.15830721055735,0.2185
275,275,46.20068634999984,0.219
500,500,46.990509623133505,0.2195
499,499,47.2203111821058,0.22
493,493,47.58001719726536,0.2205
498,498,47.584339228827616,0.221
492,492,47.59621458257243,0.2215
494,494,47.59748038577493,0.222
496,496,47.61968511570362,0.2225
495,495,47.631291479503574,0.223
497,497,47.67092913730929,0.2235
491,491,47.87658028913336,0.224
490,490,47.96827456503888,0.2245
489,489,48.39404832856151,0.225
488,488,48.50404679665962,0.2255
487,487,49.17560852860417,0.226
486,486,49.187720871729454,0.2265
484,484,49.68649513509693,0.227
485,485,49.729036492125246,0.2275
483,483,50.185265520573765,0.228
482,482,50.665342123386864,0.2285
481,481,50.67352465009404,0.229
480,480,51.26130012479146,0.2295
479,479,51.42243131169063,0.23
478,478,51.64382496249557,0.2305
477,477,51.77570267613997,0.231
476,476,52.04779039479344,0.2315
475,475,52.39606752344915,0.232
474,474,53.31382088659552,0.2325
471,471,53.63562876583012,0.233
472,472,53.6642622802313,0.2335
473,473,53.686118208500076,0.234
470,470,53.91943394983386,0.2345
469,469,53.9640912417203,0.235
468,468,53.97981332661368,0.2355
467,467,54.53330341625292,0.236
465,465,55.280090807664195,0.2365
466,466,55.36417277188207,0.237
463,463,55.5322204470196,0.2375
464,464,55.56629145222712,0.238
462,462,55.63246663406049,0.2385
461,461,55.66623983071041,0.239
460,460,56.19328666932928,0.2395
459,459,56.59187214209955,0.24
458,458,56.85374085189963,0.2405
457,457,56.97900332231836,0.241
456,456,57.03075346608924,0.2415
455,455,57.37539459516921,0.242
454,454,57.90524848773818,0.2425
453,453,58.02466076148387,0.243
452,452,58.309920917932644,0.2435
451,451,58.4629771245301,0.244
450,450,58.67577498846322,0.2445
449,449,58.70721334840228,0.245
448,448,58.80749846684847,0.2455
447,447,58.82006437680262,0.246
446,446,58.886538643026384,0.2465
445,445,59.29828532049386,0.247
444,444,59.32598267267905,0.2475
443,443,59.49200604429484,0.248
442,442,59.58335566993925,0.2485
441,441,59.81237638819698,0.249
440,440,60.16664649607563,0.2495
439,439,60.18601667676681,0.25
438,438,60.23032526232055,0.2505
437,437,60.78684309520585,0.251
435,435,60.9434168509071,0.2515
436,436,60.97562774521987,0.252
434,434,61.28380904922716,0.2525
433,433,61.36449696941543,0.253
432,432,61.42768851060039,0.2535
431,431,61.77219911076956,0.254
430,430,62.30382523523883,0.2545
429,429,62.39780471694766,0.255
428,428,62.59592636177118,0.2555
427,427,62.6317677266441,0.256
426,426,64.06868351754038,0.2565
424,424,64.22261970026953,0.257
425,425,64.26561675197787,0.2575
423,423,64.5252003350442,0.258
422,422,64.56662012796215,0.2585
421,421,65.00283310790148,0.259
420,420,65.36977865538813,0.2595
419,419,65.61105868088332,0.26
417,417,66.41510874435996,0.2605
418,418,66.4275098487015,0.261
416,416,66.49263047649917,0.2615
