,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
79,79,0.00018626083848079233,0.199
1107,1107,0.00018653115661262376,0.1995
982,982,0.0001867202075856597,0.2
1926,1926,0.00018690242669602763,0.2005
43,43,0.0001870983207656919,0.201
1456,1456,0.00018711111217145377,0.2015
80,80,0.00018714608848079128,0.202
754,754,0.00018716181797494841,0.2025
385,385,0.00018748883513983354,0.203
722,722,0.00018778573327778243,0.2035
835,835,0.00018798184140501068,0.204
629,629,0.0001883060980031859,0.2045
1897,1897,0.0001883979141194606,0.205
625,625,0.00018849034936574297,0.2055
1189,1189,0.00018862782605769623,0.206
1804,1804,0.0001886448751694984,0.2065
630,630,0.00018879487655878858,0.207
864,864,0.0001890767343302222,0.2075
1695,1695,0.0001891467325388385,0.208
515,515,0.0001892757908445035,0.2085
865,865,0.0001893961341274924,0.209
1109,1109,0.000189546044955521,0.2095
82,82,0.0001896622417546026,0.21
1340,1340,0.00018967621658507936,0.2105
85,85,0.00018984577265737657,0.211
756,756,0.000190789997171305,0.2115
260,260,0.000190848983374303,0.212
1458,1458,0.00019089457545049345,0.2125
1928,1928,0.000191187638860134,0.213
1210,1210,0.00019137942278342482,0.2135
1424,1424,0.00019146707489788026,0.214
1664,1664,0.00019147593305978333,0.2145
1563,1563,0.00019149247961916104,0.215
1929,1929,0.0001915310341900296,0.2155
89,89,0.00019202041016640192,0.216
1459,1459,0.00019211847380346436,0.2165
387,387,0.00019216339156492255,0.217
627,627,0.00019216534811751336,0.2175
84,84,0.00019225395195481693,0.218
1075,1075,0.00019230573998687566,0.2185
1806,1806,0.00019232862618075101,0.219
632,632,0.00019252219100490228,0.2195
88,88,0.00019259727265737853,0.22
1342,1342,0.00019261313306141343,0.2205
388,388,0.0001926365743686498,0.221
1211,1211,0.00019285825152249436,0.2215
1697,1697,0.00019305331863006284,0.222
517,517,0.0001931734607948676,0.2225
867,867,0.00019343855467109227,0.223
984,984,0.00019343855467109227,0.2235
490,490,0.00019365698203672443,0.224
1564,1564,0.00019409703322700967,0.2245
267,267,0.00019433621844291353,0.225
518,518,0.00019442987008472698,0.2255
958,958,0.00019453919179189858,0.226
1543,1543,0.0001948094352393966,0.2265
758,758,0.00019526144482363684,0.227
1461,1461,0.00019529165283939455,0.2275
1931,1931,0.00019536268234750438,0.228
93,93,0.0001955244463271097,0.2285
1213,1213,0.00019627574169085336,0.229
264,264,0.00019643446087218113,0.2295
1111,1111,0.0001964476906623816,0.23
1344,1344,0.0001964476906623816,0.2305
1699,1699,0.00019683850503333995,0.231
1808,1808,0.00019683850503333995,0.2315
1700,1700,0.0001969218083311397,0.232
398,398,0.00019695358043236023,0.2325
869,869,0.00019719472645555403,0.233
986,986,0.00019719472645555403,0.2335
1809,1809,0.00019723163614574616,0.234
520,520,0.00019755872011945386,0.2345
58,58,0.00019759671659902445,0.235
390,390,0.000197630969493918,0.2355
96,96,0.00019779544632710783,0.236
987,987,0.0001981820136745267,0.2365
391,391,0.00019818237672168616,0.237
838,838,0.00019849364009146892,0.2375
55,55,0.0001987210707656943,0.238
1566,1566,0.00019882447534415063,0.2385
493,493,0.00019894302927563482,0.239
759,759,0.0001991745780168031,0.2395
1463,1463,0.00019925139938565457,0.24
1427,1427,0.00019984165693436598,0.2405
